Country,IP Address,Timestamp,URL,Browser Type,Referral URL
Mexico,192.0.2.12,13:19:04,/tabletennis.html,Google Chrome,Facebook
Lebanon,198.51.100.12,06:30:35,/olympics.html,Mozilla Firefox,Twitter
Czech Republic,198.51.100.6,16:07:44,/rowing.html,Microsoft Edge,Facebook
Lebanon,198.51.100.12,17:47:26,/rowing.html,Microsoft Edge,Twitter
Morocco,198.51.100.13,18:11:56,/boxing.html,Mozilla Firefox,Facebook
Germany,192.0.2.7,08:02:54,/searchsports.php,Microsoft Edge,Google Search
South Africa,192.0.2.17,03:11:05,/images/games.jpg,Safari,Facebook
Lebanon,198.51.100.12,08:59:02,/searchsports.php,Google Chrome,Facebook
Argentina,203.0.113.2,02:40:10,/football.html,Google Chrome,Twitter
Nepal,203.0.113.13,21:03:45,/weightlifting.html,Mozilla Firefox,Facebook
Italy,192.0.2.10,15:47:56,/olympics.html,Safari,Facebook
Belgium,192.0.2.3,02:08:31,/volleyball.html,Mozilla Firefox,Facebook
Pakistan,198.51.100.15,02:39:38,/karate.html,Google Chrome,Twitter
Japan,198.51.100.11,11:32:07,/images/games.jpg,Safari,Facebook
Cuba,192.0.2.5,15:22:40,/karate.html,Safari,Facebook
Norway,192.0.2.14,13:31:54,/judo.html,Internet Explorer,Google Search
Kenya,203.0.113.11,16:55:09,/Triathalon.html,Mozilla Firefox,Twitter
Italy,192.0.2.10,14:54:50,/images/games.jpg,Opera,Facebook
Poland,192.0.2.15,11:38:33,/tabletennis.html,Opera,Facebook
Nigeria,203.0.113.14,15:48:04,/judo.html,Internet Explorer,Twitter
Portugal,198.51.100.16,00:14:56,/diving.html,Opera,Facebook
France,203.0.113.7,21:16:50,/equestrian.html,Safari,Twitter
Japan,198.51.100.11,08:53:52,/trackandfield.html,Internet Explorer,LinkedIn
Iran,203.0.113.9,14:51:58,/tennis.html,Opera,Twitter
Argentina,203.0.113.2,06:00:06,/archery.html,Microsoft Edge,Twitter
Egypt,192.0.2.6,11:03:00,/diving.html,Safari,Twitter
Norway,192.0.2.14,07:05:05,/swimming.html,Internet Explorer,Facebook
Hungary,203.0.113.8,19:00:19,/index.html,Opera,Google Search
Philippines,203.0.113.15,02:27:32,/karate.html,Mozilla Firefox,Twitter
Cuba,192.0.2.5,19:03:27,/volleyball.html,Internet Explorer,Twitter
Brazil,198.51.100.4,18:19:58,/index.html,Safari,Facebook
South Korea,192.0.2.11,00:41:24,/olympics.html,Internet Explorer,Twitter
Iran,203.0.113.9,12:11:56,/searchsports.php,Microsoft Edge,Twitter
New Zealand,198.51.100.14,05:34:27,/index.html,Mozilla Firefox,Facebook
Malaysia,203.0.113.12,19:40:48,/Triathalon.html,Internet Explorer,Facebook
Italy,192.0.2.10,05:36:13,/archery.html,Safari,Facebook
Albania,203.0.113.1,16:34:55,/gymnastics.html,Opera,Twitter
India,192.0.2.8,10:39:04,/boxing.html,Opera,Facebook
France,203.0.113.7,08:38:59,/rowing.html,Mozilla Firefox,Google Search
Belgium,192.0.2.3,07:00:50,/index.html,Safari,Facebook
Cuba,192.0.2.5,15:16:58,/tabletennis.html,Microsoft Edge,Facebook
Cuba,192.0.2.5,16:12:49,/rowing.html,Google Chrome,Twitter
Iran,203.0.113.9,16:13:27,/index.html,Google Chrome,Twitter
Denmark,203.0.113.6,17:59:00,/index.html,Opera,Facebook
Mexico,192.0.2.12,16:47:59,/tabletennis.html,Safari,Facebook
China,198.51.100.5,15:33:00,/images/games.jpg,Opera,Twitter
Ireland,198.51.100.10,14:38:42,/karate.html,Opera,Twitter
Iran,203.0.113.9,03:18:06,/football.html,Safari,Facebook
Netherlands,192.0.2.13,17:35:47,/basketball.html,Microsoft Edge,Facebook
Iraq,192.0.2.9,08:11:09,/images/games.jpg,Internet Explorer,Facebook
Italy,192.0.2.10,21:05:55,/index.html,Mozilla Firefox,Twitter
Finland,198.51.100.7,19:13:32,/sailing.html,Opera,Google Search
Argentina,203.0.113.2,16:56:52,/rowing.html,Google Chrome,Facebook
Egypt,192.0.2.6,00:00:17,/rowing.html,Safari,Facebook
South Africa,192.0.2.17,21:45:33,/basketball.html,Safari,Google Search
New Zealand,198.51.100.14,15:33:05,/shooting.html,Mozilla Firefox,Twitter
Morocco,198.51.100.13,21:11:46,/handball.html,Internet Explorer,Facebook
Iran,203.0.113.9,01:39:02,/boxing.html,Google Chrome,Facebook
Belgium,192.0.2.3,09:59:49,/tennis.html,Google Chrome,Facebook
New Zealand,198.51.100.14,20:31:56,/index.html,Opera,Twitter
France,203.0.113.7,23:54:34,/gymnastics.html,Google Chrome,Facebook
South Korea,192.0.2.11,00:08:25,/diving.html,Google Chrome,Facebook
Saudi Arabia,198.51.100.17,05:19:49,/searchsports.php,Microsoft Edge,Facebook
Malaysia,203.0.113.12,11:56:25,/diving.html,Internet Explorer,Facebook
Bangladesh,203.0.113.3,11:21:18,/equestrian.html,Safari,Facebook
Afghanistan,198.51.100.1,08:13:41,/shooting.html,Opera,Twitter
Saudi Arabia,198.51.100.17,07:09:31,/trackandfield.html,Internet Explorer,Twitter
Germany,192.0.2.7,08:15:49,/index.html,Safari,Twitter
Pakistan,198.51.100.15,17:07:53,/judo.html,Mozilla Firefox,Google Search
Austria,198.51.100.3,00:37:07,/images/games.jpg,Microsoft Edge,LinkedIn
Colombia,203.0.113.5,22:12:23,/diving.html,Internet Explorer,LinkedIn
Philippines,203.0.113.15,06:37:08,/tennis.html,Internet Explorer,Facebook
Iran,203.0.113.9,01:13:08,/judo.html,Opera,Twitter
Iran,203.0.113.9,08:58:24,/sailing.html,Google Chrome,Facebook
Poland,192.0.2.15,14:01:32,/basketball.html,Google Chrome,Google Search
Germany,192.0.2.7,01:11:38,/index.html,Opera,Facebook
Albania,203.0.113.1,15:42:03,/tennis.html,Opera,Twitter
Romania,203.0.113.16,14:03:29,/weightlifting.html,Safari,Facebook
Argentina,203.0.113.2,04:02:41,/weightlifting.html,Microsoft Edge,Facebook
Saudi Arabia,198.51.100.17,10:12:27,/Triathalon.html,Internet Explorer,LinkedIn
Argentina,203.0.113.2,01:55:33,/swimming.html,Internet Explorer,Twitter
Morocco,198.51.100.13,11:07:36,/fencing.html,Microsoft Edge,Google Search
Hungary,203.0.113.8,18:28:27,/index.html,Safari,Google Search
Colombia,203.0.113.5,00:22:57,/weightlifting.html,Internet Explorer,Twitter
Romania,203.0.113.16,01:26:35,/index.html,Mozilla Firefox,Twitter
Finland,198.51.100.7,23:58:29,/equestrian.html,Internet Explorer,Facebook
Algeria,192.0.2.1,17:33:57,/karate.html,Internet Explorer,Twitter
Kenya,203.0.113.11,02:55:35,/swimming.html,Opera,Twitter
Netherlands,192.0.2.13,08:14:30,/images/games.jpg,Microsoft Edge,Facebook
France,203.0.113.7,06:47:53,/gymnastics.html,Mozilla Firefox,Facebook
Portugal,198.51.100.16,07:29:41,/rowing.html,Google Chrome,Facebook
Cuba,192.0.2.5,02:55:03,/trackandfield.html,Mozilla Firefox,Facebook
Cuba,192.0.2.5,17:27:56,/tabletennis.html,Mozilla Firefox,Facebook
Egypt,192.0.2.6,07:57:34,/tabletennis.html,Opera,Facebook
Singapore,203.0.113.17,11:49:07,/Triathalon.html,Mozilla Firefox,LinkedIn
Philippines,203.0.113.15,12:43:24,/karate.html,Mozilla Firefox,Facebook
Morocco,198.51.100.13,10:28:07,/index.html,Opera,Twitter
Denmark,203.0.113.6,11:48:06,/rowing.html,Internet Explorer,Facebook
Israel,203.0.113.10,08:12:16,/Triathalon.html,Safari,Facebook
Hungary,203.0.113.8,00:49:06,/rowing.html,Opera,LinkedIn
Singapore,203.0.113.17,11:39:06,/gymnastics.html,Safari,Facebook
Argentina,203.0.113.2,23:25:10,/volleyball.html,Microsoft Edge,Google Search
Norway,192.0.2.14,08:25:36,/swimming.html,Mozilla Firefox,Google Search
Indonesia,198.51.100.9,00:18:39,/tabletennis.html,Opera,Facebook
New Zealand,198.51.100.14,05:40:56,/swimming.html,Safari,Facebook
Portugal,198.51.100.16,07:04:45,/equestrian.html,Google Chrome,Twitter
Pakistan,198.51.100.15,06:23:58,/equestrian.html,Safari,Twitter
Algeria,192.0.2.1,05:19:05,/sailing.html,Opera,Twitter
France,203.0.113.7,21:54:30,/handball.html,Opera,Facebook
Austria,198.51.100.3,01:39:36,/weightlifting.html,Internet Explorer,Twitter
Morocco,198.51.100.13,21:21:08,/basketball.html,Microsoft Edge,Google Search
Czech Republic,198.51.100.6,01:18:24,/gymnastics.html,Google Chrome,Google Search
Czech Republic,198.51.100.6,19:42:09,/weightlifting.html,Mozilla Firefox,Facebook
Singapore,203.0.113.17,22:41:25,/images/games.jpg,Internet Explorer,LinkedIn
Finland,198.51.100.7,21:58:58,/index.html,Opera,Twitter
Angola,198.51.100.2,05:22:08,/equestrian.html,Microsoft Edge,Twitter
Norway,192.0.2.14,16:02:06,/Triathalon.html,Safari,Twitter
Greece,198.51.100.8,14:28:24,/football.html,Microsoft Edge,Facebook
Norway,192.0.2.14,19:04:21,/swimming.html,Microsoft Edge,Facebook
Russia,192.0.2.16,16:56:29,/tabletennis.html,Safari,Facebook
South Korea,192.0.2.11,05:21:44,/swimming.html,Safari,Facebook
Portugal,198.51.100.16,04:17:47,/boxing.html,Internet Explorer,Twitter
Iraq,192.0.2.9,01:33:13,/handball.html,Mozilla Firefox,Google Search
Norway,192.0.2.14,06:58:46,/tabletennis.html,Microsoft Edge,Twitter
Albania,203.0.113.1,13:09:04,/fencing.html,Safari,Google Search
Argentina,203.0.113.2,22:59:39,/swimming.html,Microsoft Edge,Facebook
Chile,192.0.2.4,19:48:45,/tabletennis.html,Microsoft Edge,Twitter
Austria,198.51.100.3,03:47:26,/handball.html,Safari,Twitter
Cuba,192.0.2.5,21:39:17,/fencing.html,Safari,Twitter
Denmark,203.0.113.6,11:42:03,/karate.html,Google Chrome,Facebook
Germany,192.0.2.7,08:11:37,/judo.html,Safari,Facebook
China,198.51.100.5,06:39:20,/fencing.html,Google Chrome,Twitter
Chile,192.0.2.4,08:30:06,/equestrian.html,Google Chrome,Facebook
Brazil,198.51.100.4,00:24:06,/basketball.html,Opera,LinkedIn
Saudi Arabia,198.51.100.17,14:14:56,/judo.html,Microsoft Edge,Twitter
Japan,198.51.100.11,14:57:12,/sailing.html,Opera,LinkedIn
Indonesia,198.51.100.9,08:34:33,/weightlifting.html,Google Chrome,Facebook
Iran,203.0.113.9,15:16:49,/equestrian.html,Google Chrome,Facebook
Greece,198.51.100.8,20:41:30,/karate.html,Microsoft Edge,Facebook
Kenya,203.0.113.11,22:55:14,/tabletennis.html,Mozilla Firefox,Facebook
Germany,192.0.2.7,19:24:46,/judo.html,Safari,Facebook
Malaysia,203.0.113.12,01:31:09,/tennis.html,Safari,Twitter
Nigeria,203.0.113.14,15:52:28,/fencing.html,Safari,Facebook
Austria,198.51.100.3,18:59:14,/volleyball.html,Opera,Twitter
Finland,198.51.100.7,21:09:20,/swimming.html,Mozilla Firefox,Facebook
Belgium,192.0.2.3,09:15:23,/volleyball.html,Safari,Twitter
China,198.51.100.5,07:58:49,/rowing.html,Opera,LinkedIn
Chile,192.0.2.4,09:46:31,/basketball.html,Internet Explorer,Facebook
Netherlands,192.0.2.13,08:46:44,/tabletennis.html,Microsoft Edge,Facebook
Israel,203.0.113.10,23:01:55,/rowing.html,Internet Explorer,Facebook
Ireland,198.51.100.10,17:04:49,/shooting.html,Mozilla Firefox,Twitter
Chile,192.0.2.4,19:05:07,/judo.html,Mozilla Firefox,Twitter
China,198.51.100.5,10:49:44,/Triathalon.html,Microsoft Edge,Twitter
Brazil,198.51.100.4,22:44:24,/olympics.html,Internet Explorer,Twitter
Austria,198.51.100.3,23:24:19,/index.html,Internet Explorer,Facebook
Ireland,198.51.100.10,07:10:58,/basketball.html,Internet Explorer,Facebook
Malaysia,203.0.113.12,23:05:55,/swimming.html,Opera,Twitter
Greece,198.51.100.8,17:00:54,/basketball.html,Microsoft Edge,Facebook
Egypt,192.0.2.6,11:14:47,/judo.html,Internet Explorer,LinkedIn
Pakistan,198.51.100.15,19:48:34,/sailing.html,Microsoft Edge,Twitter
Israel,203.0.113.10,00:38:20,/rowing.html,Opera,Facebook
Finland,198.51.100.7,21:21:02,/equestrian.html,Safari,Facebook
Japan,198.51.100.11,06:07:25,/searchsports.php,Google Chrome,Facebook
Nigeria,203.0.113.14,20:16:09,/boxing.html,Microsoft Edge,Twitter
Italy,192.0.2.10,04:58:37,/olympics.html,Mozilla Firefox,Facebook
Italy,192.0.2.10,12:32:52,/judo.html,Mozilla Firefox,Twitter
Philippines,203.0.113.15,19:33:07,/karate.html,Safari,LinkedIn
China,198.51.100.5,06:31:20,/football.html,Opera,Twitter
Czech Republic,198.51.100.6,00:51:16,/olympics.html,Microsoft Edge,Facebook
Romania,203.0.113.16,18:05:22,/trackandfield.html,Mozilla Firefox,Google Search
Greece,198.51.100.8,08:41:58,/olympics.html,Microsoft Edge,LinkedIn
Norway,192.0.2.14,13:49:04,/basketball.html,Google Chrome,Facebook
South Korea,192.0.2.11,20:08:46,/equestrian.html,Mozilla Firefox,Facebook
Greece,198.51.100.8,02:59:49,/index.html,Opera,Twitter
Finland,198.51.100.7,19:40:52,/rowing.html,Opera,Twitter
New Zealand,198.51.100.14,11:50:58,/tennis.html,Safari,Facebook
Nepal,203.0.113.13,11:57:34,/basketball.html,Safari,Twitter
France,203.0.113.7,06:20:57,/equestrian.html,Mozilla Firefox,Facebook
Brazil,198.51.100.4,21:23:50,/shooting.html,Mozilla Firefox,Twitter
Mexico,192.0.2.12,13:36:33,/index.html,Mozilla Firefox,Google Search
Austria,198.51.100.3,23:02:03,/gymnastics.html,Opera,Facebook
Chile,192.0.2.4,00:41:00,/tennis.html,Opera,Facebook
Romania,203.0.113.16,04:45:39,/tennis.html,Microsoft Edge,Twitter
Bangladesh,203.0.113.3,05:47:37,/trackandfield.html,Mozilla Firefox,Facebook
France,203.0.113.7,08:12:50,/sailing.html,Safari,Twitter
Nigeria,203.0.113.14,01:27:35,/karate.html,Microsoft Edge,Facebook
New Zealand,198.51.100.14,02:10:00,/equestrian.html,Microsoft Edge,Twitter
Germany,192.0.2.7,14:39:27,/judo.html,Safari,LinkedIn
Belgium,192.0.2.3,06:01:02,/tabletennis.html,Mozilla Firefox,Twitter
Ireland,198.51.100.10,15:17:39,/archery.html,Microsoft Edge,Google Search
Iraq,192.0.2.9,09:05:49,/archery.html,Mozilla Firefox,Twitter
India,192.0.2.8,10:59:16,/football.html,Internet Explorer,Facebook
Indonesia,198.51.100.9,02:09:01,/index.html,Safari,Twitter
Italy,192.0.2.10,14:04:42,/index.html,Internet Explorer,Facebook
India,192.0.2.8,05:56:40,/searchsports.php,Internet Explorer,Facebook
Philippines,203.0.113.15,01:51:45,/volleyball.html,Google Chrome,Google Search
Cuba,192.0.2.5,07:53:43,/index.html,Google Chrome,Facebook
South Korea,192.0.2.11,16:37:48,/diving.html,Google Chrome,Twitter
Morocco,198.51.100.13,03:23:36,/karate.html,Internet Explorer,Facebook
South Korea,192.0.2.11,20:34:52,/fencing.html,Internet Explorer,Twitter
Chile,192.0.2.4,08:58:21,/swimming.html,Opera,Facebook
Austria,198.51.100.3,08:49:35,/tennis.html,Mozilla Firefox,Facebook
South Africa,192.0.2.17,13:58:42,/index.html,Microsoft Edge,Twitter
Hungary,203.0.113.8,06:20:55,/index.html,Opera,Facebook
Chile,192.0.2.4,00:18:40,/football.html,Internet Explorer,Facebook
Morocco,198.51.100.13,02:54:18,/images/games.jpg,Opera,Twitter
Japan,198.51.100.11,19:07:26,/Triathalon.html,Opera,Facebook
Iraq,192.0.2.9,01:24:07,/equestrian.html,Opera,Facebook
Brazil,198.51.100.4,00:35:22,/karate.html,Opera,Facebook
Kenya,203.0.113.11,13:37:16,/sailing.html,Opera,Facebook
Portugal,198.51.100.16,16:12:58,/rowing.html,Microsoft Edge,Twitter
Portugal,198.51.100.16,05:56:51,/boxing.html,Internet Explorer,Twitter
Mexico,192.0.2.12,15:47:10,/archery.html,Google Chrome,Facebook
Hungary,203.0.113.8,20:07:16,/judo.html,Safari,LinkedIn
Belgium,192.0.2.3,04:15:57,/swimming.html,Microsoft Edge,Facebook
Cuba,192.0.2.5,05:38:15,/images/games.jpg,Internet Explorer,Facebook
Norway,192.0.2.14,08:29:01,/images/games.jpg,Google Chrome,Facebook
Nigeria,203.0.113.14,01:47:05,/football.html,Google Chrome,Facebook
Egypt,192.0.2.6,12:18:13,/judo.html,Safari,Facebook
France,203.0.113.7,13:38:42,/gymnastics.html,Microsoft Edge,Facebook
Morocco,198.51.100.13,13:01:39,/tabletennis.html,Microsoft Edge,Facebook
Iraq,192.0.2.9,20:47:07,/gymnastics.html,Safari,Twitter
Bangladesh,203.0.113.3,11:44:15,/weightlifting.html,Google Chrome,Twitter
Cuba,192.0.2.5,09:51:51,/sailing.html,Microsoft Edge,LinkedIn
Australia,192.0.2.2,01:39:00,/volleyball.html,Opera,Twitter
Algeria,192.0.2.1,23:54:44,/swimming.html,Opera,Twitter
Afghanistan,198.51.100.1,02:09:06,/football.html,Internet Explorer,Google Search
Morocco,198.51.100.13,02:57:27,/fencing.html,Mozilla Firefox,Twitter
Afghanistan,198.51.100.1,00:54:23,/index.html,Microsoft Edge,Facebook
Nigeria,203.0.113.14,14:34:05,/rowing.html,Mozilla Firefox,Twitter
Finland,198.51.100.7,13:05:31,/karate.html,Safari,Facebook
Portugal,198.51.100.16,18:27:12,/images/games.jpg,Mozilla Firefox,Facebook
Iraq,192.0.2.9,18:29:01,/Triathalon.html,Safari,Twitter
Japan,198.51.100.11,00:15:07,/archery.html,Mozilla Firefox,Facebook
Cuba,192.0.2.5,07:17:09,/index.html,Microsoft Edge,LinkedIn
Japan,198.51.100.11,02:28:41,/sailing.html,Mozilla Firefox,Google Search
Nigeria,203.0.113.14,18:37:51,/equestrian.html,Internet Explorer,Facebook
Netherlands,192.0.2.13,07:17:38,/index.html,Opera,Facebook
Egypt,192.0.2.6,00:39:56,/trackandfield.html,Opera,Facebook
Israel,203.0.113.10,21:07:53,/trackandfield.html,Opera,Facebook
Portugal,198.51.100.16,17:20:14,/tennis.html,Safari,LinkedIn
Czech Republic,198.51.100.6,19:31:28,/judo.html,Safari,Facebook
Kenya,203.0.113.11,21:10:06,/judo.html,Internet Explorer,Twitter
Romania,203.0.113.16,04:55:53,/Triathalon.html,Internet Explorer,Facebook
Czech Republic,198.51.100.6,20:45:04,/trackandfield.html,Microsoft Edge,Facebook
Finland,198.51.100.7,05:23:26,/basketball.html,Google Chrome,Facebook
Germany,192.0.2.7,15:51:21,/index.html,Google Chrome,Facebook
Netherlands,192.0.2.13,17:15:02,/gymnastics.html,Internet Explorer,Facebook
Philippines,203.0.113.15,01:19:22,/karate.html,Opera,LinkedIn
Austria,198.51.100.3,14:35:45,/rowing.html,Google Chrome,LinkedIn
Cuba,192.0.2.5,04:01:25,/judo.html,Safari,Twitter
Denmark,203.0.113.6,15:17:37,/handball.html,Mozilla Firefox,Twitter
Nigeria,203.0.113.14,09:38:19,/judo.html,Safari,LinkedIn
Kenya,203.0.113.11,01:46:21,/volleyball.html,Mozilla Firefox,Google Search
Saudi Arabia,198.51.100.17,08:22:50,/gymnastics.html,Google Chrome,Twitter
South Africa,192.0.2.17,23:32:57,/images/games.jpg,Safari,Twitter
Greece,198.51.100.8,05:58:06,/boxing.html,Microsoft Edge,Facebook
Czech Republic,198.51.100.6,07:39:21,/trackandfield.html,Internet Explorer,Google Search
Iran,203.0.113.9,11:21:37,/football.html,Safari,Facebook
Colombia,203.0.113.5,03:50:42,/swimming.html,Microsoft Edge,Twitter
Canada,203.0.113.4,06:12:15,/searchsports.php,Google Chrome,Facebook
Denmark,203.0.113.6,00:39:12,/football.html,Google Chrome,Facebook
China,198.51.100.5,04:12:23,/handball.html,Opera,Facebook
Bangladesh,203.0.113.3,17:25:54,/images/games.jpg,Microsoft Edge,Facebook
Israel,203.0.113.10,23:21:40,/rowing.html,Internet Explorer,Twitter
Afghanistan,198.51.100.1,09:35:19,/boxing.html,Microsoft Edge,Twitter
Netherlands,192.0.2.13,19:39:40,/shooting.html,Opera,Twitter
Canada,203.0.113.4,04:50:09,/diving.html,Safari,Facebook
Nigeria,203.0.113.14,02:13:41,/archery.html,Google Chrome,Facebook
Australia,192.0.2.2,12:54:26,/images/games.jpg,Internet Explorer,Facebook
France,203.0.113.7,19:13:41,/swimming.html,Microsoft Edge,Facebook
Belgium,192.0.2.3,17:08:33,/swimming.html,Google Chrome,Twitter
Morocco,198.51.100.13,09:09:35,/weightlifting.html,Microsoft Edge,Facebook
Netherlands,192.0.2.13,07:36:03,/weightlifting.html,Internet Explorer,Facebook
Iran,203.0.113.9,06:45:37,/diving.html,Safari,Facebook
Philippines,203.0.113.15,18:56:58,/diving.html,Opera,Twitter
Angola,198.51.100.2,14:53:10,/olympics.html,Google Chrome,Facebook
Ireland,198.51.100.10,21:31:38,/tennis.html,Internet Explorer,LinkedIn
Australia,192.0.2.2,17:03:17,/handball.html,Internet Explorer,Twitter
New Zealand,198.51.100.14,16:09:33,/handball.html,Google Chrome,LinkedIn
Argentina,203.0.113.2,14:35:25,/diving.html,Microsoft Edge,Facebook
Singapore,203.0.113.17,20:23:24,/images/games.jpg,Microsoft Edge,Facebook
Albania,203.0.113.1,15:22:51,/equestrian.html,Mozilla Firefox,Twitter
Russia,192.0.2.16,04:56:40,/gymnastics.html,Google Chrome,Google Search
Egypt,192.0.2.6,14:11:03,/handball.html,Mozilla Firefox,Facebook
France,203.0.113.7,05:44:18,/weightlifting.html,Opera,Facebook
Poland,192.0.2.15,20:21:04,/index.html,Google Chrome,Google Search
Austria,198.51.100.3,19:41:38,/index.html,Safari,Twitter
Japan,198.51.100.11,08:32:15,/Triathalon.html,Safari,Facebook
Austria,198.51.100.3,12:33:43,/sailing.html,Google Chrome,Facebook
Singapore,203.0.113.17,12:38:52,/Triathalon.html,Opera,LinkedIn
Iran,203.0.113.9,17:11:13,/weightlifting.html,Opera,Google Search
Iran,203.0.113.9,19:06:02,/judo.html,Microsoft Edge,Facebook
Hungary,203.0.113.8,21:57:33,/weightlifting.html,Opera,Twitter
Bangladesh,203.0.113.3,08:19:14,/boxing.html,Microsoft Edge,Twitter
Italy,192.0.2.10,01:21:07,/shooting.html,Microsoft Edge,Twitter
Belgium,192.0.2.3,07:13:59,/rowing.html,Mozilla Firefox,Twitter
Kenya,203.0.113.11,03:13:22,/shooting.html,Google Chrome,Facebook
Algeria,192.0.2.1,14:07:24,/handball.html,Internet Explorer,Twitter
South Korea,192.0.2.11,10:03:30,/archery.html,Google Chrome,Facebook
Ireland,198.51.100.10,14:52:30,/swimming.html,Google Chrome,Twitter
Egypt,192.0.2.6,16:24:40,/archery.html,Safari,Facebook
Afghanistan,198.51.100.1,15:58:43,/handball.html,Microsoft Edge,LinkedIn
Cuba,192.0.2.5,02:39:08,/diving.html,Safari,Twitter
Bangladesh,203.0.113.3,12:14:12,/archery.html,Safari,Facebook
Philippines,203.0.113.15,00:00:35,/searchsports.php,Google Chrome,Facebook
Ireland,198.51.100.10,03:49:06,/basketball.html,Opera,Google Search
Australia,192.0.2.2,02:45:22,/tabletennis.html,Microsoft Edge,LinkedIn
Angola,198.51.100.2,23:22:37,/rowing.html,Mozilla Firefox,Google Search
Philippines,203.0.113.15,06:16:57,/tennis.html,Internet Explorer,Facebook
Brazil,198.51.100.4,08:46:35,/boxing.html,Google Chrome,Twitter
Argentina,203.0.113.2,17:11:00,/handball.html,Safari,Facebook
Australia,192.0.2.2,08:43:34,/judo.html,Opera,Facebook
Afghanistan,198.51.100.1,15:39:12,/volleyball.html,Google Chrome,Facebook
Algeria,192.0.2.1,11:19:58,/boxing.html,Mozilla Firefox,Twitter
Albania,203.0.113.1,16:36:33,/karate.html,Opera,Google Search
Norway,192.0.2.14,18:17:51,/olympics.html,Mozilla Firefox,Facebook
Norway,192.0.2.14,04:37:05,/searchsports.php,Mozilla Firefox,Twitter
Indonesia,198.51.100.9,10:16:04,/index.html,Mozilla Firefox,Facebook
Bangladesh,203.0.113.3,21:43:50,/gymnastics.html,Internet Explorer,Google Search
Belgium,192.0.2.3,11:58:34,/olympics.html,Google Chrome,Google Search
Cuba,192.0.2.5,11:47:40,/handball.html,Safari,Facebook
Egypt,192.0.2.6,22:20:10,/fencing.html,Safari,Google Search
India,192.0.2.8,07:39:05,/judo.html,Microsoft Edge,Facebook
China,198.51.100.5,09:43:11,/basketball.html,Safari,Facebook
Norway,192.0.2.14,04:05:09,/gymnastics.html,Safari,Twitter
Ireland,198.51.100.10,01:55:10,/archery.html,Google Chrome,Facebook
Afghanistan,198.51.100.1,02:19:37,/diving.html,Internet Explorer,Twitter
Morocco,198.51.100.13,22:48:04,/tennis.html,Internet Explorer,LinkedIn
Kenya,203.0.113.11,05:18:02,/basketball.html,Google Chrome,Twitter
Morocco,198.51.100.13,18:53:41,/trackandfield.html,Safari,Twitter
New Zealand,198.51.100.14,16:15:44,/handball.html,Mozilla Firefox,Twitter
Mexico,192.0.2.12,03:05:30,/tabletennis.html,Mozilla Firefox,Facebook
Singapore,203.0.113.17,18:57:46,/equestrian.html,Safari,Facebook
Albania,203.0.113.1,06:40:04,/fencing.html,Google Chrome,Twitter
Singapore,203.0.113.17,10:48:12,/images/games.jpg,Internet Explorer,LinkedIn
Finland,198.51.100.7,17:50:25,/swimming.html,Internet Explorer,Facebook
Bangladesh,203.0.113.3,05:32:04,/rowing.html,Safari,Twitter
Austria,198.51.100.3,05:30:50,/index.html,Microsoft Edge,Google Search
China,198.51.100.5,21:45:26,/shooting.html,Internet Explorer,Facebook
New Zealand,198.51.100.14,01:37:06,/trackandfield.html,Internet Explorer,Twitter
Finland,198.51.100.7,05:41:53,/weightlifting.html,Google Chrome,Facebook
Romania,203.0.113.16,05:41:05,/images/games.jpg,Mozilla Firefox,Facebook
Germany,192.0.2.7,20:32:33,/equestrian.html,Google Chrome,Facebook
Israel,203.0.113.10,19:38:47,/Triathalon.html,Opera,Twitter
Portugal,198.51.100.16,16:17:51,/volleyball.html,Google Chrome,Facebook
Nepal,203.0.113.13,04:31:44,/volleyball.html,Microsoft Edge,Facebook
Algeria,192.0.2.1,20:19:43,/karate.html,Opera,Facebook
Angola,198.51.100.2,13:09:23,/index.html,Microsoft Edge,Twitter
Denmark,203.0.113.6,18:20:23,/index.html,Safari,Facebook
Romania,203.0.113.16,07:26:00,/shooting.html,Microsoft Edge,Facebook
Australia,192.0.2.2,22:16:56,/shooting.html,Microsoft Edge,Twitter
Finland,198.51.100.7,09:10:14,/index.html,Internet Explorer,Facebook
France,203.0.113.7,23:37:30,/sailing.html,Safari,Twitter
Lebanon,198.51.100.12,10:14:49,/shooting.html,Mozilla Firefox,Facebook
Denmark,203.0.113.6,16:37:35,/judo.html,Mozilla Firefox,Facebook
Singapore,203.0.113.17,02:24:09,/tabletennis.html,Safari,Twitter
New Zealand,198.51.100.14,20:22:40,/diving.html,Google Chrome,Facebook
Bangladesh,203.0.113.3,20:10:49,/handball.html,Mozilla Firefox,LinkedIn
Australia,192.0.2.2,15:44:18,/Triathalon.html,Safari,LinkedIn
Iran,203.0.113.9,12:47:02,/swimming.html,Safari,Twitter
South Korea,192.0.2.11,07:31:58,/olympics.html,Safari,Google Search
Saudi Arabia,198.51.100.17,03:47:45,/volleyball.html,Internet Explorer,Twitter
Denmark,203.0.113.6,09:23:00,/searchsports.php,Mozilla Firefox,Google Search
Austria,198.51.100.3,12:50:46,/index.html,Microsoft Edge,Twitter
Germany,192.0.2.7,01:01:04,/equestrian.html,Mozilla Firefox,Google Search
Singapore,203.0.113.17,10:21:28,/olympics.html,Google Chrome,Twitter
